Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Cin,CUSTOM,CUSTOM,1,0,0,Cap: 9.17 µF  Total Derated Cap: 9.2 µF  VDC: 25.5 V  ESR: 1 µΩ  Package: null  
Rrc,Vishay-Dale,CRCW0402154KFKED,1,0.01,3,Resistance: 154 kΩ  Tolerance: 1.0%  Power: 63 mW  
D1,Diodes Inc.,PDS760-13,1,0.63,49.56,Type: Schottky  VRRM: 60 V  Io: 7 A  
U1,Texas Instruments,TPS40210DGQR,1,0.75,23.6,
Ccomp,TDK,CGA4F2C0G1H153J085AA,1,0.07,6.75,Cap: 15 nF  Total Derated Cap: 15 nF  VDC: 50 V  ESR: 0 Ω  Package: 0805  
Rg,Vishay-Dale,CRCW04024R64FKED,1,0.01,3,Resistance: 4.64 Ω  Tolerance: 1.0%  Power: 63 mW  
Rcomp,Vishay-Dale,CRCW04026K49FKED,1,0.01,3,Resistance: 6.49 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cbp,TDK,C1005X6S1C105K050BC,1,0.02,3,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 16 V  ESR: 11.42 mΩ  Package: 0402  
Rsense,Vishay-Dale,WSLP1206R0100FEA,1,0.18,10.92,Resistance: 10 mΩ  Tolerance: 1.0%  Power: 1 W  
Cout,Panasonic,25SVPF180M,1,0.63,106.09,Cap: 180 µF  Total Derated Cap: 180 µF  VDC: 25 V  ESR: 16 mΩ  Package: 8x11.9  
Crc,MuRata,GRM033R71E121KA01D,1,0.01,2.08,Cap: 120 pF  Total Derated Cap: 120 pF  VDC: 25 V  ESR: 1 mΩ  Package: 0201  
Rfbt,Susumu Co Ltd,RG1608P-7682-B-T5,1,0.06,4.68,Resistance: 76.8 kΩ  Tolerance: 0.1%  Power: 100 mW  
L1,CUSTOM,CUSTOM,1,0,0,Ns1toNp: 1   Lp: 4.99 µH  Leakage_L: 99.7 nH  
Css,MuRata,GRM155R71C223KA01D,1,0.01,3,Cap: 22 nF  Total Derated Cap: 22 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0402  
Ccoup,TDK,C2012X5R1H475K125AB,3,0.18,6.75,Cap: 4.7 µF  Total Derated Cap: 4.9 µF  VDC: 50 V  ESR: 1 mΩ  Package: 0805  
Riflt,Vishay-Dale,CRCW04021K00FKED,1,0.01,3,Resistance: 1 kΩ  Tolerance: 1.0%  Power: 63 mW  
M1,Texas Instruments,IdealFET_Depletion,1,0,79.3,VdsMax: 650 V  IdsMax: 13 Amps  
Ciflt,Taiyo Yuden,TMK063CG101JT-F,1,0.01,2.08,Cap: 100 pF  Total Derated Cap: 100 pF  VDC: 25 V  ESR: 0 Ω  Package: 0201  
Ccomp2,Taiyo Yuden,UMK105CG181JV-F,1,0.01,3,Cap: 180 pF  Total Derated Cap: 180 pF  VDC: 50 V  ESR: 0 Ω  Package: 0402  
Rfbb,Susumu Co Ltd,RG1608P-4751-B-T5,1,0.06,4.68,Resistance: 4.75 kΩ  Tolerance: 0.1%  Power: 100 mW  
